ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4865679AC,COLUMN Steering Tilt,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,499,409.21,27.9 x 10.3 x 9.0 inches,11.00 Pounds,/parts/mopar-column-steering~4865679ac.html
4,5290187AA,BEARING Steering Column Shaft,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,41.05,34.37,5.8 x 5.6 x 4.5 inches,0.80 Pounds,/parts/mopar-bearing-steering-column-shaft~5290187aa.html
6,6503182,NUT AND WASHER Hex Lock Nut-Coned Teeth Washer M8 x 1.25,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,discontinued,,,1.2 x 1.2 x 0.5 inches,0.40 Pounds,/parts/mopar-screw-hex-lock-nut-coned-teeth-wa~6503182.html
7,4671104,LAMP Ignition Switch,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,36.7,15.26,3.1 x 3.1 x 2.6 inches,0.50 Pounds,/parts/mopar-lamp-ignition-switch~4671104.html
8,6035434,SCREW AND WASHER Tapping Pan Head .164-18X1.250,,"2013-2014, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT GTS, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,68461920AA,,,available,3.8,2.62,1.3 x 0.3 x 0.3 inches,0.40 Pounds,/parts/mopar-screw-tapping-pan-head~6035434.html
9,UC77DX9AA,SHROUD Steering Column,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,8.6 x 7.4 x 3.2 inches,0.70 Pounds,/parts/mopar-shroud-steering-column~uc77dx9aa.html
10,UC78DX9AA,SHROUD Steering Column,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,29.9,24,8.5 x 6.6 x 3.4 inches,0.80 Pounds,/parts/mopar-shroud-steering-column~uc78dx9aa.html
11,6102204AA,SCREW AND WASHER Hex Head M6X1.00X20.00,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,8.75,7.57,1.0 x 0.8 x 0.8 inches,0.60 Pounds,/parts/mopar-screw-hex-head~6102204aa.html
12,5290070AD,SHAFT Steering column intermediate,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,5290070AF,,,available,246,201.91,19.2 x 2.6 x 2.6 inches,2.20 Pounds,/parts/mopar-shaft-steering-column-intermediat~5290070ad.html
13,4865588AC,SHAFT Steering column intermediate,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,23.6 x 5.3 x 2.1 inches,3.20 Pounds,/parts/mopar-shaft-steering-column-intermediat~4865588ac.html
